doc-number,Caption,Committees,Sponsors,links
HB 95,"Revenue and taxation; Internal Revenue Code and Internal Revenue Code of 1986; revise terms and incorporate certain provisions of federal law into Georgia law
Status: 05/02/2023 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Knight, David , 134thBlackmon, Shaw , 146thMartin, Chuck , 49thNewton, Mark , 127thStephens, Ron , 164th",https://www.legis.ga.gov/legislation/63703
HB 96,"Revenue and taxation; definitions; change certain provisions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thNewton, Mark , 127thWilliamson, Bruce , 112thBlackmon, Shaw , 146thCrowe, Clint , 118th",https://www.legis.ga.gov/legislation/63704
HB 97,"Revenue and taxation; definitions; change certain provisions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thNewton, Mark , 127thWilliamson, Bruce , 112thCrowe, Clint , 118thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/63705
HB 98,"Ad valorem tax; property; change certain definitions
Status: 02/22/2024 - House Committee Favorably Reported By Substitute",House Committee:Ways & Means,"Knight, David , 134thCrowe, Clint , 118thBlackmon, Shaw , 146thMartin, Chuck , 49thNewton, Mark , 127th",https://www.legis.ga.gov/legislation/63706
HB 99,"Alternative ad valorem tax; motor vehicles; change certain definitions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Knight, David , 134thCrowe, Clint , 118thBlackmon, Shaw , 146thMartin, Chuck , 49thNewton, Mark , 127th",https://www.legis.ga.gov/legislation/63707
HB 100,"Income tax; change certain definitions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Crowe, Clint , 118thStephens, Ron , 164thNewton, Mark , 127thMartin, Chuck , 49thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/63708
HB 101,"Income tax; change certain definitions
Status: 03/26/2024 - Senate Tabled",House Committee:Ways & MeansSenate Committee:Finance,"Crowe, Clint , 118thStephens, Ron , 164thNewton, Mark , 127thMartin, Chuck , 49thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/63709
HB 102,"Sales and use tax; change certain definitions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Martin, Chuck , 49thNewton, Mark , 127thStephens, Ron , 164thWilliamson, Bruce , 112thBlackmon, Shaw , 146thCrowe, Clint , 118th",https://www.legis.ga.gov/legislation/63710
HB 103,"Sales and use tax; change certain definitions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Martin, Chuck , 49thNewton, Mark , 127thStephens, Ron , 164thCrowe, Clint , 118thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/63711
HB 104,"Excise tax; rooms, lodgings, and accommodations; change certain definitions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Martin, Chuck , 49thNewton, Mark , 127thStephens, Ron , 164thCrowe, Clint , 118thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/63712
HB 105,"Excise tax; rooms, lodgings, and accommodations; change certain definitions
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Martin, Chuck , 49thNewton, Mark , 127thStephens, Ron , 164thCrowe, Clint , 118thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/63713
HB 106,"Innocent Georgian Process Improvement Act; enact
Status: 02/01/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Scott, Sandra , 76thSchofield, Kim , 63rdDavis, Viola , 87th",https://www.legis.ga.gov/legislation/63714
HB 107,"Police Accountability Act; enact
Status: 02/01/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rdHolly, El-Mahdi , 116th",https://www.legis.ga.gov/legislation/63715
HB 108,"Buildings and housing; comprehensive state civil rights law protecting individuals from discrimination; provide
Status: 02/01/2023 - House Second Readers",House Committee:Judiciary,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63716
HB 109,"Uniform Civil Forfeiture Procedure Act; certain property is exempt from seizure; provide
Status: 02/01/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63717
HB 110,"Uniform Civil Forfeiture Procedure Act; reporting of property seized and forfeited to the Carl Vinson Institute of Government; require
Status: 02/01/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63718
HB 111,"Quality Basic Education Act; pilot program to implement student based funding recommendations of the 2015 Education Reform Commission; provide
Status: 02/01/2023 - House Second Readers",House Committee:Education,"Scott, Sandra , 76thBeverly, James , 143rdDavis, Viola , 87thCarter, Doreen , 93rd",https://www.legis.ga.gov/legislation/63719
HB 112,"Ethical Policing Act; enact
Status: 02/01/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63720
HB 113,"Preventing Tragedies Between Police and Communities Act; enact
Status: 02/01/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63721
HB 114,"Law enforcement officers; implicit bias training; provide
Status: 02/01/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63722
HB 115,"End Racial Profiling Act; enact
Status: 02/01/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63723
HB 116,"Holidays and observances; revise holidays observed in Georgia
Status: 02/01/2023 - House Second Readers",House Committee:Governmental Affairs,"Scott, Sandra , 76thSchofield, Kim , 63rdDavis, Viola , 87th",https://www.legis.ga.gov/legislation/63724
HB 117,"Bartow County; Board of Education; revise district boundaries
Status: 05/03/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Scoggins, Mitchell , 14thGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/63746
HB 118,"Bartow County; ad valorem tax for educational purposes; provide homestead exemption
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Scoggins, Mitchell , 14thGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/63747
HB 119,"Uniform rules of the road; procedure for passing stationary vehicles; provide
Status: 03/14/2024 - Senate Committee Favorably Reported  By Substitute",House Committee:Motor VehiclesSenate Committee:Public Safety,"Corbett, John , 174thMathis, Danny , 149thSmith, Vance , 138thWiedower, Marcus , 121stPowell, Alan , 33rdReese, Tremaine Teddy , 140th",https://www.legis.ga.gov/legislation/63748
HB 120,"Motor vehicles; standards for issuance of limited driving permits for certain offenders; provide
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Public Safety,"Corbett, John , 174thMathis, Danny , 149thSmith, Vance , 138thWiedower, Marcus , 121stPowell, Alan , 33rd",https://www.legis.ga.gov/legislation/63749
HB 121,"Waters, ports, and watercraft; wakesurfing and wakeboarding; provide restrictions and requirements
Status: 05/02/2023 - House Date Signed by Governor","House Committee:Game, Fish & ParksSenate Committee:Transportation","Anderson, Victor , 10thPowell, Alan , 33rdMcDonald, Lauren , 26thGunter, Stan , 8thYearta, Bill , 152ndHawkins, Lee , 27th",https://www.legis.ga.gov/legislation/63750
HB 122,"Georgia Achieving A Better Life Experience (ABLE); governance of program by board of directors of Georgia Higher Education Savings Plan; provide
Status: 01/08/2024 - Senate Recommitted",House Committee:Higher EducationSenate Committee:Higher Education,"Hawkins, Lee , 27thNewton, Mark , 127thHatchett, Matt , 155thLott, Jodi , 131stBennett, Karen , 94th",https://www.legis.ga.gov/legislation/63751
HB 123,"Sales and use tax; certain menstrual products; create exemption
Status: 02/01/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thAu, Michelle , 50thBuckner, Debbie , 137thSchofield, Kim , 63rdFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/63752
HB 124,"Health; first responders of municipal fire departments may engage in emergency medical transportation of patients; provide
Status: 02/01/2023 - House Second Readers",House Committee:Health,"Bruce, Roger , 61stBazemore, Debra , 69thNaghise, Tish , 68thThomas, Mandisha A. , 65thGlaize, Lydia , 67thJones, Sheila , 60th",https://www.legis.ga.gov/legislation/63754
HB 125,"Harris County; Probate Court; authorize assessment and collection of technology fee
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Smith, Vance , 138thSmith, Richard , 139th",https://www.legis.ga.gov/legislation/63755
HB 126,"Appeal and error; judgments deemed directly appealable; change a provision
Status: 03/28/2024 - Senate Conference Committee Appointed",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Smith, Tyler Paul , 18thGunter, Stan , 8thEvans, Stacey , 57thReeves, Matt , 99thPanitch, Esther , 51st",https://www.legis.ga.gov/legislation/63756
HB 127,"State Board of Education; establish rules and regulations for local school system outreach efforts regarding ESOL program; require
Status: 02/16/2024 - House Committee Favorably Reported By Substitute",House Committee:Education,"Mainor, Mesha , 56thLim, Marvin , 98thMitchell, Billy , 88thTran, Long , 80th",https://www.legis.ga.gov/legislation/63757
HB 128,"Revenue and taxation; representation of minority business enterprises, women and veteran owned businesses in procurement of state contracts; provide
Status: 04/24/2023 - House Date Signed by Governor",House Committee:State Planning & Community AffairsSenate Committee:Economic Development and Tourism,"Hong, Soo , 103rdSainz, Steven , 180thBonner, Josh , 73rdMartinez, Reynaldo ""Rey"" , 111thWilliams, Al , 168thHuddleston, David , 72nd",https://www.legis.ga.gov/legislation/63758
HB 129,"Public assistance; expand temporary assistance for needy families eligibility criteria to pregnant women
Status: 05/02/2023 - House Date Signed by Governor",House Committee:Public HealthSenate Committee:Children and Families,"Hong, Soo , 103rdCooper, Sharon , 45thHawkins, Lee , 27thTaylor, Darlene , 173rdPetrea, Jesse , 166thHuddleston, David , 72nd",https://www.legis.ga.gov/legislation/63759
HB 130,"Georgia Student Finance Authority; student loan repayment for peace officers; provide
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Higher EducationSenate Committee:Higher Education,"Gambill, Matthew , 15thCollins, J , 71stHitchens, Bill , 161stWerkheiser, Bill , 157thLumsden, Eddie , 12thNeal, Yasmin , 79th",https://www.legis.ga.gov/legislation/63760
HB 131,"Workforce Development Act; enact
Status: 02/01/2023 - House Second Readers",House Committee:Higher Education,"Carpenter, Kasey , 4thWashburn, Dale , 144thWerkheiser, Bill , 157thHouston, Penny , 170thTran, Long , 80thMarin, Pedro ""Pete"" , 96th",https://www.legis.ga.gov/legislation/63761
HB 132,"Buildings and housing; amend Georgia state minimum standard codes to authorize certain uses of ungraded lumber; require
Status: 05/03/2023 - House Date Signed by Governor",House Committee:Agriculture & Consumer AffairsSenate Committee:Agriculture and Consumer Affairs,"Jenkins, David , 136thPirkle, Clay , 169thKnight, David , 134thHuddleston, David , 72ndCamp, Beth , 135th",https://www.legis.ga.gov/legislation/63762
HB 133,"State holidays; November 22 as Kimchi Day; designate
Status: 02/01/2023 - House Second Readers",House Committee:Special Rules,"Marin, Pedro ""Pete"" , 96thPark, Sam , 107thTran, Long , 80thAu, Michelle , 50thHong, Soo , 103rdMughal, Farooq , 105th",https://www.legis.ga.gov/legislation/63763
HB 134,"Dalton, City of; city council; change description of election wards
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Carpenter, Kasey , 4thTarvin, Steve , 2nd",https://www.legis.ga.gov/legislation/63764
HB 135,"Crimes and offenses; establish offense of failure to adequately secure a firearm
Status: 02/01/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Oliver, Mary Margaret , 82ndAu, Michelle , 50thEvans, Becky , 89thDraper, Saira , 90thRomman, Ruwa , 97thLupton, Karen , 83rd",https://www.legis.ga.gov/legislation/63765
HB 136,"Penal institutions; commissioner of corrections to report certain information; require
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Public Safety and Homeland Security,"Petrea, Jesse , 166thSainz, Steven , 180thHitchens, Bill , 161stCollins, J , 71stJasperse, Rick , 11thTownsend, Rick , 179th",https://www.legis.ga.gov/legislation/63766
HB 137,"Bishop's Law; enact
Status: 02/07/2023 - House Withdrawn, Recommitted",House Committee:Public Safety and Homeland Security,"Crowe, Clint , 118thCollins, J , 71stMathis, Danny , 149thMcCollum, Derrick , 30th",https://www.legis.ga.gov/legislation/63767
HB 138,"Revenue and taxation; update population bracket and census data for a certain property tax exemption for certain leased property
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Crowe, Clint , 118th",https://www.legis.ga.gov/legislation/63768
HB 139,"Criminal procedure; restrictions of disclosure of personal information of nonsworn employees; provisions
Status: 04/26/2023 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Crowe, Clint , 118thMcCollum, Derrick , 30thMathis, Danny , 149thBarrett, Carter , 24th",https://www.legis.ga.gov/legislation/63769
